french|lingala
Le jour du mariage a l’église avant de nous bénir le prêtre dit ceci                                                                                                  Vous vous êtes marié pour le meilleur et pour le pire,  vos corps sont unis et vous ne faite plus qu’un                                                                                                  Mais le jour de la mort qu’est ce qu’on voit, le menuisier fabriquer le cercueil d’une seule personne                                                                                                  Ils vont enterrer l’un, l’autre va rester                                                                                                   Même si elle pleur comme si elle allait mourir, mais elle n’acceptera jamais d’être enterrer dans le même cercueil que son compagnon|Mokolo to ko balanaka na ndako ya nzambe liboso ya ko benisa biso sango a lobaka boyé                                                  Bo balani pour le meilleur et pour le pire bo sangisi nzoto bokomi moto moko                                                  Kasi mokolo ya liwa nini to ko monoka menuisier a ko sala sanduku se ya moto moko                                                 Ba ko kunda moko, moko a ko tikala                                                  Ata a leli lekola a kufa kasi a ko linga te ba kunda se sanduku moko na molongani nayé 
Trahison Abbé Jacques                                                                                                   Ou est le mariage dont le prêtre disait                                                                                                   Trahison…Vous vous êtes marié pour le meilleur et pour le pire                                                                                                   Trahison Abbé Molumba pour le meilleur et pour le pire                                                                                                   Trahison Tite Tchima                                                                                                   Trahison Sebene|Trahison ooh abbé jacque                                                  Wapi libala sango o lobaka                                                  Trahison ooh yeh bo balani pour le meilleur et pour le pire                                                  Trahison ooh abbé molumba pour le meilleur pour le pire                                                  Trahison oh tite tchima                                                  Trahison oh sebene
Mais à l’église on ne pose pas de question,  après la messe                                                                                                   On sort tous avec une seule parole Amen                                                                                                   Guy mayalase                                                                                                  La mort c’est comme lorsqu’on vient au monde                                                                                                   Mimie illumbé                                                                                                  Chacun son jour, chacun son heur                                                                                                   Koko ngoma le mariage c’est seulement quand on est en vie                                                                                                   Vamos les veuves aussi ont droit à la vie|Kasi na ndako ya nzambé ba ko tunaka mi tuna té sima ya losambo messe esili                                                 To ko bimaka se na liloba moko biso nioso ameeen                                                  Guy mayalase oh yeh                                                  Liwa lekola tango to ko botamaka                                                  Mimie illumbé eh yeh                                                  Moto na mokolo na yé na ngonga na yé                                                  Koko ngoma eeh yeh libala se tango to zali na bomoyi                                                  Vamos eh yeh ba veuve pe bazali na droit ya la vie
Cette chose l’amour est une mauvaise chose                                                                                                   Il rend l’homme bête                                                                                                  Il va laisser toute les parties du corps                                                                                                   Il va choisir le cœur et va le faire souffrir                                                                                                   Il va t’emmener dans des chemins que tu ne connais pas                                                                                                    Il va t’emmener jusque sur les frontières des pays dont tu ignore le nom                                                                                                   Il va te faire un signe de la main puis traverser la rive                                                                                                   Le passant est déjà parti|Eloko oyo bolingo eloko mabé                                                  E ko komisaka moko nde zoba                                                  E ko tika bi teni nioso ya nzoto                                                  E ko pona motema e ko niokolo yango                                                 E ko mema yo ba nzela yo o yebi té                                                  E ko mema yo ti na frontière ya mboka oyo o yebi kombo té  oh                                                  E ko pepa yo loboko ekati ngambo                                                  Moleki nzela ye wana  a ké
Aimer c’est dur                                                                                                   J’ai aimé les amis, ils m’ont trahi                                                                                                   L’amour c’est dur                                                                                                   Dans le mariage on m’a payé par l’infidélité                                                                                                  L’argent…l’argent                                                                                                   J’ai aimé l’argent dans ma vie                                                                                                   L’argent…l’argent                                                                                                   J’ai cherché l’argent dans ma vie|Ko linga pasii eh                                                  Na lingaka ba ninga ba trahir nga                                                  Bolingo pasi eh                                                  Na libala ba futi nga na infidelité                                                  Mbongo ye ye yeh eh mbongo                                                  Na lingaka mbongo na vie nga                                                  Mbongo ye ye yeh eh mbongo                                                  Na lukaka mbongo na vie nga
L’argent m’a montré l’infidélité                                                                                                  Aujourd’hui dans ma poche, demain dans celle a Berverly                                                                                                   Demain dans la poche a Tedy Kintchala                                                                                                   Le surlendemain dans la poche à Franck Mupezo                                                                                                   Le surlendemain dans la poche à Guy Mayolase                                                                                                    Pour finir dans la poche a Pepe Kalé                                                                                                   Que je lui emmène au bar arrivé là-bas il est resté                                                                                                   Il m’a donné a boire et a refuser de rentrée a la maison                                                                                                   Qu’on va au marché arrivé là-bas il est resté                                                                                                   Il a aimé les commerçants et à refuser de rentré a la maison                                                                                                   L’argent l’argent  l’argent infidèle|Mbongo elakisi ngayi infidélité                                                  Lelo na poche na nga lobi ya beverly                                                  Lobi na poche ya Tedy Kintchala                                                  Lobi kuna na poche ya franck mupezo                                                  Lobi kuna na poche ya Guy Mayolase                                                 E ko suka na poche ya Pepe Kalé                                                 Na mema yé na bar a komi kuna a tikali                                                  A pesi nga masanga abo kozonga ndako                                                  To kendé na zando to koma kuna a tikali                                                 A luli ba commerçant  abo kozongo ndako                                                 Mbongo ye ye yeh eh mbongo eh mbongo eh infidel
Aujourd’hui le docteur m’a interdit la bière a cause de la maladie…le cousin du commerçant                                                                                                  Aujourd’hui le docteur m’a interdit la cigarette les deux parents qui me restait                                                                                                   Ceux avec qui j’ai mangé et fait des confidences, ses même la m’ont trahi                                                                                                    La famille et les amis que j’aide, si je manque d’argent ils ne me croiront pas                                                                                                   Ils pensent qu’être populaire c’est avoir de l’argent                                                                                                   Etre populaire                                                                                                  Etre populaire est un problème                                                                                                   Les amis ont mélangé                                                                                                   Ils ont mélangé mon honneur avec de l’argent                                                                                                   Docteur Ingila                                                                                                   J’ai aimé la bière ca m’a causé la maladie                                                                                                   La cigarette pareil, j’aimais la cigarette elle m’a dégradé la santé                                                                                                   Je suis resté tout seul au monde                                                                                                   Comme le soleil qui est née sans parents                                                                                                   La maladie tu me fais souffrir                                                                                                   Ils vont nous enterrer dans le même trou                                                                                                   La maladie tu me fais souffrir                                                                                                   On ira ensemble dans le même cercueil la maladie|Dokotolo a pekisi nga lelo masanga likolo ya maladie oh oh …cousin ya commerçant                                                 Dokotolo a pekisi nga lelo cigarette ba ndeko oyo mibale  na tikala na bango 	                                                 Bayé na  liaka na bango to salaka sekelé kaka bango lisusu ba trahir nga                                                 Ba famille na ba ninga oyo na salisaka soki na zangi ba ko ndima ngai té oh                                                 Bakanisi ko yebana ezali nde mbongo                                                 Koyebana  eeeh eh                                                  Koyebana ezali ndé ngambo                                                  Ba ninga basangisi eh                                                   Basangisi lokumu na nga na mbongo                                                  Dokotolo eh Ingila eh                                                  Na lingaka masanga e boteli nga maladie                                                 Cigarette ndenge moko na lingaka ciagarette e bebisi nga santé                                                  Na tikala eh ngamoko na mokili                                                  Lokola moyi e botama na ndeko  te                                                 Maladie eh yo ko tungisa nga                                                  Ba ko kundu nga na yo libulu moko                                                  Maladie oko niokolo nga                                                  To ko kendé nga na yo sanduku moko maladie     
Intro:   Voici mon cadavre, il est encore entrain de saigner, viens écouter ma dernière volonté   Tu m’aime   Tu m’adore|Intro:  Ebembe na nga yang'oyo.Eza nanu kotanga makila.Yaka oyoka liloba na nga ya suka  Olingaka nga ?  he he he olela nga?
Viens me chercher, pour guérir ma blessure   Ta responsabilité dans mon cas, toi seule la connais   Je suis la sans rancune, juste un peu d’amertume   Je suis la sans regret   Sache que si demain, c’était à refaire, je t’aimerais encore| Yakozwa nga ngo Okawusa nga mpota   Responsabilité na yo na cas na nga Yo moko oyebi eh   Naza na nga awa sans rancune Kaka ndambu amertume   Naza na nga awa na regret te   Yebaka soki demain Si c'etait à refaire Nakolinga yo lisusu kaka
La mort ou la survie, toi seule fera le choix pour moi   Mon cœur est la pompe de ton amour qui ne se ferme jamais   Pour que mes larmes cessent de couler, dit un seul mot   Le mal que tu m’as fait, je l’ai pris comme un sacrifice   Peut être que je ne t’ai pas aimé, de la façon dont tu aimes être aimé|Hum liwa to pe lobiko Yo moko oko ponela nga eh    Motema na nga eza pompe ya bolingo no ekokangamaka te   Pinzoli na nga po ekawuka Loba liloba se lyoko   Mabe oyo osali nga Nazui yango neti sacrifice   Peut etre que ndenge olingaka nalinga yo Nazangisaki ndambu
Je vais assigner qui en justice, le feu qui me brule   Je l’ai allumé tout seul, par instinct de la pyromanie   Tu peux me repousser cinq cent fois, je vais toujours te supplier   L’équivalence en souffrance, est celui de JESUS sur la croix   L’origine du chemin de la croix, est celui de l’amour que je porte pour toi|Nakosamba na nani Moto eza kotumba nga eh   Nga moko napelisaki yango na instinct ya pyromanie   Y’oboya no nga mbala kama Nabondelaka yo kaka   Photocopie ya souffrance eza oyo ya yesu na kuruze   Origine ya chemin de la croix Eza oyo po nga nalini yo nazo vivre eh, nazo vivre ehhh 
Recommence a me faire rire, parle moi encore d’amour   Pour que l’heure de ma mort, mon amie soit retardée   Même si mon rêve depuis longtemps s’était transformé en illusion  Le seul combat qui va me rester, est la conquête de ton amour   On fait comment pour que l’amour se transforme en mépris envers les autres|Bandela kosekisa nga Parle moi encore d'amour   Bongo ngonga ya liwa na nga Ami ekoma retardé   Ndoto na nga ata deja kala Esi ekomaki illusion    Etumba na nga ekotikala Se conquete ya amour na yo   Po kolinga eya kobongwana koyina Baninga bakosalaka comment
Je n’ai pas de problème, tout ne dépend que de toi   Je m’appelle une porte, et la clé qui m’ouvre   Se trouve entre tes mains, ne la laisse pas tombé   Le jour où tu le voudras, a l’heure que tu voudras, je serais à ta disposition  Tout ce que tu voudras, la nuit ou le jour, ca sera fait en un temps   Une seule foi, en un temps seulement|Naza na nga na probleme te Nyonso kaka se yo   Kombo na nga eza porte Fungola oyo ekofungolaka nga   Eza na maboko ma yo Kokweyisa yango te   Mokolo okolinga, heure okopona Nakozala à ta disposition   Nyonso okolinga butu to moyi Ekozala nango un temps   Mbala moko, un temps kaka
La personne est entrain de mourir, l’amour tu refuse de venir pour quoi ?  Le non assistance en personne en danger ma sœur   Est punissable par l’Etat ma sœur|Ima lettre ya mama lelisa eh mawa   Moto azowa eh Bolingo obo koya, pourquoi   Non assistance en personne en danger, nkana eh   Eza punissable epayi ya mbula matari eh, nkana
Qui sème le vent, dans le monde on dit que  Récolte la tempête, qu’est ce que j’ai semé   Pour qu’aujourd’hui je récolte la malchance de la jeunesse|Qui seme le vent na mokili, balobaka eh   Recolte la tempete Nini oyo nga nalonaki eh   Po lelo naya ko recolter botutu ya bobwana boye
Maintenant je crois, ce que disent les anciens  Le jour où tu mange un crapaud mon enfant   Ce n’est pas ce jour que tu vas avoir, des boutons, fais attention mon enfant|Lelo na ndimi bakulaka ndenge balobaka eh   Mwana mokolo oyo okoliya ligorodo eh   Eza te mokolo oyo okobima ah makwanza eh, keba mwana
Cet amour qui rend heureux  C’est ce même amour qui va rendre la personne malheureuse  Le sol qui donne les légumes, et les arachides  C’est ce même sol, qui vient engloutir le corps humain, pour quoi   La main qui caresse avec tendresse   C’est cette même main qui vient griffer la personne    L’amour qui donne le plaisir   Comment ce même amour engendre la tristesse, je me demande|Kaka bolingo oyo epesaka esengo ngo   Kaka yango eyaka kokomisa moto malheureux   Kaka mabele oyo epesaka ndunda na nguba ngo   Kaka yango eyaka koliya nzoto ya moto pourquoi aaaaahhhhh   Kaka loboko oyo e caressaka na tendresse eh   Kaka yango eyaka lisusu kotiya moto linzaka eh yo didi stone   Kaka bolingo oyo epsesaka elengi ngo   Kaka yango eyaka lisusu kobota mawa comment , na mituni eee
Parler :  Les sœurs, vous sortez dans le ventre des mamans avec la couleur du jus d’orange   Pour nous on souffre, jusqu’en l’an 2000 cela sera toujours ainsi ? Vraiment hein ?|Parler :  Ba sœurs, yango bo bimaka na libumu ya mama na couleur ya jus d’orange   Po bosi to niokomaka , ti na l’an 2000 eko zala kaka boyé ? vraiment hein ?   
Que le monde entier écoute EXTRA (2x) Le monde entier (2x)|Mokili mobimba yoka Extra (2x) Mokili yeh yeh yeh (2x)
2x Chœur: Les amis, écoutez l’histoire annoncée du groupe EXTRA Nous sommes les maîtres du terrain On connait notre travail, ah ah les enfants de Dieu, c’est la différence|2x Choeur: Bandeko oh boyoka l’histoire annoncée ya bana Extra  Tozali bakolo mabélé Toyebi nde mosala ah ah bana ya Nzambé, c’est la différence
Solo : Tu peux calomnier, c’est rien  Tu peux insulter, c’est zéro    Dieu nous a créés dans ce monde, chaque personne avec sa chance Avec sa chance  Le soleil se lève|Solo : Yo tonga tonga pamba oh Yo finga finga zero  Nzambé asali na mokili moto na moto na chance nayé  Na chance nayé  Moyi eko bima ah
Chœur : Pour toutes les personnes, ici bas|Chœur : Pona moto nioso awa osé
Solo : La pluie aussi tombe|Solo : Mbula mpe eko nokoko
Chœur : Pour toutes  les personnes, ici bas  Créature de Dieu dans ce monde  On ne peut pas effacer le destin du monde  Il faut apprécier une personne à sa juste valeur, quand il le faut|Chœur : Pona moto nioso awa osé Ekelamu ya Yahvé na mokili oyo  Destin ya  mokili ba effaca te dit eh  Ndimaka moto na époque nayé
Solo : Oxy chante  OXYGENE :  Je chante avec beaucoup de plaisir au sein d’EXTRA-MUSICA|Solo : OXY ako nzemba  OXYGENE :  Na nzembi elingi mingi na Extra-musica
PECHARD chante PECHARD : Je chante|PECHARD ako nzemba  PECHARD: Na nzembi eeh
Doudou hurle   DOUDOU : J’ai traversé des rivières, des montagnes afin de chercher le paradis, maintenant je l’ai trouvé|Doudou ako belela ah  DOUDOU: Na katisi bibalé, ba ngoba koluka Paradiso ya lelo oyo na kuti eh
Moi j’aime|Ngaï na leli eeh
Chœur : Moi j’aime ROGA-ROGA|Chœur : Ngaï ne lela ROGA-ROGA
Moi j’aime|Ngaï na lela yeeh
Chœur : Moi j’aime ESPÉ et DUREL|Chœur : Nga na lela ESPÉ na DUREL
Moi je l’aime|Ngaï na lela yeeh
Chœur : Moi j’aime GUYGUY FALL Moi j’aime RAMATOULAYE|Chœur : Nga na lela GUYGUY FALL Nga na lela RAMATOULAYE
Chœur : Moi j’aime EXTRA|Yeeh
Histoire énoncée (4x)|Chœur : Nga na leli Extra eh
Le groupe EXTRA a commencé au quartier Ouenzé Manzanza|Histoire énoncée (4x)
Chœur : Demande à Ferréol NGASSAKYS|Extra ebandi na Ouenzé Manzanza
ROGA-ROGA a créé le groupe EXTRA|Chœur : Tuna na Ferréol NGASSAKYS
Chœur : Avec ESPÉ BASS  KILA MBONGO, DUREL LOUEMBA, GUYGUY FALL, RAMATOULAYE|ROGA-ROGA asali Extra
2x Chœur: Les amis, écoutez l’histoire annoncée du groupe EXTRA Nous sommes les maîtres du terrain On connait notre travail, ah ah les enfants de Dieu, c’est la différence EXTRA-MUSICA oyé oyé, EXTRA-MUSICA Mais sache que tout le monde n’a pas forcement la même pointure  Car douter c’est mauvais|Chœur : Ye na Espé BASS KILA MBONGO, DUREL LOUEMBA, GUYGUY FALL, RAMATOULAYE
Où est-ce que tu as déjà vu un crapaud se mesurer à un éléphant, mon Dieu  Nous n’avons pas les mêmes valeurs SEBENE (Animation dansante)|2x Choeur: Bandeko oh boyoka l’histoire annoncé ya bana Extra  Tozali bakolo mabélé Toyebi nde mosala ah ah bana ya Nzambé, c’est la difference EXTRA-MUSICA oyé oyé , EXTRA-MUSICA oh  Kasi yeba que bisonioso to zalaka na pointure moko té  Po tembé mabé
Dieu  Dieu|Nzaaambé heee yé yé yé yéeeeh  Nzambé yé yé yéeeh
Dieu  a crée le monde à sa manière, pourquoi nous les Hommes voulons détruire le monde de Dieu ?  Celui qui dira que le monde est compliqué se trompe, il pense que le monde avait été créé avec le péché alors que c’est lui qui l’a emmené ici bas  Sache qu’on vient au monde les mains vide, certains commencent à se venter des biens matériels tout cela va rester, ici bas c’est Dieu le seigneur|Nzambé asala mokili mama he na ndengué na yé, tina nini biso bato tolingi ko bebisa mokili ya Nzambé Moto ako loba mokili compliqué amikosi nzoto, a kanisi mokili ebotama na masumu nzoka yé moto akumba masumu na mokili ya osé oh  Yeba toyaka maboko mibalé awa na mokili, basusu ba koma kotuta tolo na biloko bya mokiliii biso bikotikala awa osé Nzambé  mokonzi
Aime ton prochain comme toi-même, comme le veut Dieu, demande pardon à Dieu  La vie éternelle  J’ai pleuré avec mes larmes, Dieu écoute moi  La vie éternelle Je t’implore de nous bénir tes enfants  La vie éternelle  … La vie éternelle|Linga moninga lekola omilingaka commandement ya Nzambé, senga tubela na Nzambé Di eh  Bomoyi bwa seko  Na leli na mayi na miso na nga Nzambé yoka nga  Bomoyi bwa seko  Na ko senga y’okangola biso bana oh  Bomoyi bwa seko Yeeeh ye ye ye ooh  Bomoyi bwa seko
La  parole de Dieu ne passera jamais, il est le seigneur|La parole de Dieu ne passera jamais, ye mei mokonzi
2x Les amis écoutez l’histoire des membres d’extra  Laissez les fétiches, allons glorifier Dieu le seigneur qui nous aime dans son cœur Arrête d’ignorer la bonne voie|2x Baninga boyoka lisésé ya bana extra Botika ni bakisi boya tokendé kokumisa Nzambé mokonzi alingi biso na motema Tika ni ko ignorer nzela malamu di oh ohooo
Transmets mes salutations aux sœurs de l’église Catholique  Transmets mes salutations aux sœurs de l’église Némique  Transmets mes salutations aux sœurs de l’église Evangélique  Kimbanguiste, Maranatha Dieu tu es le seigneur|Pesela nga mboté na ba sœur ya Catholique  Yo tindela nga mboté na ba sœur ya Nemiki  Yo pesela nga mboté na ba soeour ya Evangelique  Kimbanguiste Maranatha Nzambé yo mokonzi
Je refuse que l’on m’appelle sorcier ici bas  Je refuse que l’on m’appelle le souverain pontife des sorciers J’irais chez le prête qu’il me débarrasse de la malchance, ange Gabriel au secours|Naboyi ba benga nga moloki ya se oh  Naboyi ba benga nga souverain pontife ya ba ndoki   Nako kendé epayi ya nganga Nzambé alongola nga botutu, ange Gabriel au secours ah yeh
Les amis écoutez l’histoire des membres d’extra  Laissez les fétiches, allons glorifier Dieu le seigneur qui nous aime dans son cœur Arrête d’ignorer la bonne voie|Baninga boyoka lisésé ya bana extra Botika ni bakisi boya tokendé kokumisa Nzambé mokonzi alingi biso na motema Tika ni ko ignorer nzela malamu di oh ohooo
Au commencement y’avait la parole, la parole a créée toute chose de ce monde Ensuite elle a créé les Hommes de ce monde|Na ebandeli ebandaka se na liloba, liloba eyé kosala biloko biso bwa mokili Nasima eyé ndé kosala bato oh ohoo ya mokili oyo oh oh
Dieu ma créé dans ce monde et ma donné son souffle, laissez moi travailler pour l’eternel Allah  Au lieu de tuer des enfants, des familles, pour en tirer de l’argent occulte, je refuse le jugement dernier en enfer|Nzambé esali nga mokili apesi nga souffle na yé tika na salela l’Eternel Allah ah ah  Yako silisa bana, na ba famille, bongo ya moyékè, na boyi jugement ya suka na lifelo
2x Les amis écoutez l’histoire des membres d’extra  Laissez les fétiches, allons glorifier Dieu le seigneur qui nous aime dans son cœur Arrête d’ignorer la bonne voie|2x Baninga boyoka lisésé ya bana extra Botika ni bakisi boya tokendé kokumisa Nzambé mokonzi alingi biso na motema Tika ni ko ignorer nzela malamu di oh ohooo
Micko si c’est vrais, tu ne veux plus de moi, c’est rien   Micko c’est triste, tu ne veux plus de moi, c’est rien|Micko si c’est vrai Obonga Esala rien  Micko eza Mawa Obonga Esala rien
Je mourrai une fois une pour toute   Pour laisser, les souffrances, puis la joie  Donné le feu vert a ceux qui les aimes|Nacko kufa Nanga une fois pour toute  Pe Natika Ba souffrance pe Bala joie  Natikela Bayé Balinga Bango feu vert
Micko si c’est vrais, tu ne veux plus de moi, c’est rien   Micko c’est triste, tu ne veux plus de moi, c’est rien|Micko si c’est vrai Obonga Essala rien   Micko eza Mawa Obonga Esala rien
Je mourrai martyre d’amour   Pour laisser, les souffrances, puis la joie  Laissé le temps a ceux qui les aimes|Nacko Kufa nanga martyre d’amour   Pe natika ba souffrance pe bala joie  Natikela bayé balinga bango tango
Les yeux admirent, et le cœur choisit  Je pensai, que toute les femmes brunes   Etaient pareil, alors que ce n’était pas le cas|Miso elulaka motema eponaka eh   Nazalaki obanza basi nyoso ya pembe  Bakokana nzoka eza nango bongo te
Micko est la fleur des jardins qui demande des jardiniers   Micko est un fruit qui dit mange moi   Micko est le sucre, qui rend le sucre sucré   Micko est un diamant, qui porte un visage humain   Micko est un immeuble qui marche   Même dans le noir, Micko brille|Micko  aza fleur oyo ba jardin basengaka ba jardinier  Micko aza fruit elobaka lianga   Micko  aza sucre ekomisaka sukali sucre  Micko aza diamant elata elongi ya moto  Micko aza immeuble oyo etambolaka  Ata molili micko ako ngengaka micko
L’hotel inter tu peux prendre, mais Micko non, le Memling je te fais cadeau, mais pour Micko laisse tomber|Inter zua Micko te memling cadeau kasi Micko tika  tika tika he na Micko te
Micko aime moi, fais de moi un home riche   Micko aime moi, pour que je sois un homme riche   Que soit riche, plus que tous les riches   Prince de Brunei, Onassis, Bill Gates, Berlusconi, Crésus|Micko linganga okomisanga riche  Micko linganga nakoma moto ya mbongo  Nakoma mvuama koleka tous les mvuama   Prince de Brunei, Onassis, Bill Gates, Berlusconi, Crésus.
Papa et maman vous qui savez tout   La prudence fait l’home, pour quoi vous ne me l’avez pas dit   Que je fasse attention au regard foudroyant de Micko   Le sourire de Micko m’a frappé en plein cœur, je me noie   Je coule, je suis fini|Papa na maman vous qui savez tout uh   Ekenge fait l’homme pour quoi Boyebisaki ngai te  Nasala keba na miso ya Micko foudre   Sourire ya Micko ezui nga na mutambu na noyé   Na couler  Nasili eh,
Micko avec les larmes, dans les yeux, Micko la nuit je pleur   Micko avec les larmes, dans les yeux, Micko la nuit je pleur   Ou es-tu ? Ou es-tu ? Micko   Ou es-tu ? Ou es-tu ? Micko|Micko na mayi na miso Micko butu  mwana aza kolela yo  Micko na mayi na miso Micko butu mwana aza kolela yo  Wapi yo wapi yo a Micko mukaji  Wapi yo wapi yo a Micko munkara me eh
Micko la petite sœur de Dida, c’est ta faute, ta beauté est énorme  Micko la petite sœur de Dida, c’est ta faute, ta beauté est un fleuve   L’arête de l’amour m’est restée à la gorge   Mon souffle dans pas longtemps va se couper|Micko  leki ya dida faute nayo beaute nayo eza ebele  Micko  leki ya dida faute nayo beaute nayo eza ebalé  Nga sende y’a l’amour ekangi nga nakingo  Nga pema eh kala te, ekokatana ah
Micko la nuit je te pleur   Micko la nuit je te pleur   Au secours au secours Micko  Sauve-moi, sauve-moi Micko|Miko ya baruti Micko butu mwana na za kolela yo  Miko ya mikali Micko butu mwana na za kolela yo  Au secours au secours a Micko mukaji  Sauver nga sauver nga a Micko mukara me.  
 Nous sommes tous  les enfants de Dieu   Nous sommes tous imparfaits pêcheurs  Fils de riche, nantis ou de pauvres   Faisons l’amour et pas la guerre  Soyons indulgents et tolèrent les uns vis-à-vis des autres   Nous sommes tous des années 1900, nul n’a le droit d’intimider son prochain|Toza biso nyoso bana ya NZAMBE   Toza biso nyoso basumuki   Eh mwana ya mvouama to mobola  Poso m’pembe to mwindo   Faisons l’amour et pas la guerre  Kolimbisa eleki tout   Biso tout bana 1900 moto te abangisa moninga
Comprenons-nous   Donnons-nous la main|To se comprendre mama aa ma  To pesana loboko oo ma aa ma
"Nous sommes tous les héritiers de KALLE  Nous sommes tous les cadets de FRANCO   Issus de l’école Fiesta ou ODEMBA   Notre mère a tous s’appelle ""Musique""   Originaire des témoins Makandungu ou Mutuashi   L’essentiel est que nous nous tolérions"|Toza biso nyoso baleki ya KALLE  Toza biso nyoso baleki ya FRANCO   L’école ya fiesta to y’odemba  Mama na biso eza nzembo   Yemba makwandungu to mutuashi   Lotomo toyokana
L’union fait la force   La voie du salut pour l’âme est la bible|L’union fait la force e ma aa  Nzela ya lobiko ya molimo biblia
Nous les disciples de la chanson sommes pour la paix   Nous les anges de la chanson militons pour l’amour|Biso b’alanga nzembo pour la paix toza  Biso b’alanga nzembo pour la paix toza  Biso b’alanga nzembo pour l’amour militons   Biso b’alanga nzembo pour l’amour militons
Nous nous insurgeons contre la zizanie, les divisions et contre les trouble-fêtes  Nous refusons que nos noms soient utilisés pour des fins destructrices, tristes et macabres|To bo ba zizanie ba divisions ba trouble-fete  To bo ba zizanie ba divisions ba trouble-fete  To bo ba kombo na biso ekoma sukali ya café ya matanga   To bo tobo toboyi eh   To bo ba kombo na biso ekoma etoko  oya ya matanga  To bo tobo toboyi eh
L’humain est venu de la poussière  Il ne finit que par le redevenir   Quelque soit l’opulence et l’abondance des biens   La parole de Dieu a infiniment plus de valeur   Nous autres sommes nés des tam-tams  Nous ne vivons que grâce a nos marimbas et coras|Hein po na ko kanga ki pungu pungu  Il faut o tya soyi eh   Grand ché a tye mousoukou soukou hein
Et jamais, pour de l’argent, nous de vendrons nos âmes|Moto awuta mabélé  Suka suka akozonga se mabélé   Bomengo ata eza n’ango ebelé  Liloba ya NZAMBE kaka eleki   Biso toza bana mbonda   Lelo tokoma kobeta se lokolé
Notre âme, nous la préservons contre vents et marées|Milomo
"Le jour  ""J"" tout le monde en liesse"|To koteka te po na mbongo
Tout le monde alléluia|Molimo
Tout le monde gloire à Dieu|To ko batela contre vents et marées
JB : Le poisson électrique (NINA en lingala) Tu avais menti à d’autres poissons du fleuve que tu es électrique Mais jusqu’à ce jour, le fleuve est resté dans le noir   Il n’est pas éclairé|JB : Yo NINA  Okosaka ba mbisi n’ebalé qu’ozalaka na courant  Mais ti lelo ebalé eyalaka be molili  Epelaka mwinda tè
AMINATA ma vie sans toi, est devenue fragile, comme la vie d’une jeune plante  Le fleuve qui nous sépare, je suis entrain de le traverser en fils à tresser  Comme je t’aime AMINATA, mon miel sucré, laisse moi assumer le combat contre les abeilles Tu es l’arbre sous lequel, je m’abrite quand il fait chaud  Le lit dans lequel, je me couche la nuit  La maison dans laquelle je m’abrite quand il pleut, AMINATA, tu es plus sucré que du miel|AMINATA ma vie sans toi, ekomi fragile lekola bomoyi ya ndunda  Ebalé ekaboli nga na yo, nakomi ko katisa na singa ya suki  Lekola na lingi yo AMINATA mon miel sucré, tika na nzima etumba na ba nzoyi  Yo ndé se ya nzété na bombanaka na tango ya moyi  Mbéto na nga na lalelaka na tango ya butu  Ndako na nga na bombanaka soki mbula ekonoko, AMINATA tu es plus sucré que du miel
Maintenant que tu es parti, ma chérie, tu m’expose aux intempéries et aux dangers La pluie, puis le soleil s’abattent sur moi, a force de t’attendre  SYLLA, tu m’as abonné au rond-point de la misère  La voiture qui a pour destination l’amour, ou le trouverai-je ?|Awa y’okeyi na yo ma chérie yo exposée nga, na ba intempéries pe ba dangés Mbula, moyi esileli nga na nzoto kozelaka yo  SYLLA y’osundola nga, na rond-point ya misère  Voiture ya destination ya bolingo na zwa wapi eh
Chœur : AMINATA, dit  moi pour que je le sache, à quel niveau me places-tu dans la hiérarchie de tes pensées ?  SYLLA, dit  moi pour que je le sache, à quel niveau me places-tu dans la hiérarchie de tes pensées ?|Chœur : AMINATA yebisa nga na yeba, esika nini y’otia nga na hiérarchie ya bas pensées nayo  SYLLA yebisa nga na yeba, esika nini y’otia nga na hiérarchie ya bas pensées nayo
JB : Tu as fait de moi une voiture qui n’a pas de frein, sur une descente vers le divorce, ou un ticket de train qui a déjà été composté|JB : Okomisi nga lekola motuka ezanga frein ne descente ya divorce, to pe ticket ya train ya moto asi a composter nayé
Chœur: Pour quoi tu m’as multiplié par zéro, alors que je ne suis pas encore mort SYLLA, revient avant qu’il ne soit trop tard|Chœur : Pour quoi ozo multiplier nga par zero, SYLLA  nanu na kufi tèh revient avant qu’il ne soit trop tard
Solo 1 : JB M’PIANA, ceux qui se pressent dans la vie, s’arrêtent en chemin  PATICK BOLAGNYA fait attention, la vie ce n’est pas que l’argent C’est aussi le travail [JB : c’est vrai] C’est aussi l’intelligence [JB : ah oui] C’est aussi l’humanité  C’est aussi l’honneur|Solo 1 : JB M’PIANA vie ya bango bango bako suka na nzéla PATICK BOLAGNYA keba bomoyi ezali kaka bongo té  Ezali se mosala [JB : c’est vrai] Ezali se mayelé [JB : ah oui] Ezali se bomoto  Ezali se bwania
Chœur : AMINATA, dit  moi pour que je le sache, à quel niveau me places-tu dans la hiérarchie de tes pensées ?|Chœur : AMINATA yebisa nga na yeba, esika nini y’otia nga na hiérarchie ya bas pensées nayo
